Table Name,Field Name,Dataset Name
dataAppts,ServiceDate,CRP - Ambulatory App
dataAppts,Appt_ID,CRP - Ambulatory App
dataAppts,Person_ID,CRP - Ambulatory App
dataAppts,Status_Hierarchy,CRP - Ambulatory App
dataAppts,Status_Cancelled,CRP - Ambulatory App
dataAppts,Status_Expected,CRP - Ambulatory App
dataAppts,Status_Kept,CRP - Ambulatory App
dataAppts,Status_NoShow,CRP - Ambulatory App
dataAppts,Status_Pending,CRP - Ambulatory App
dataAppts,Oracle_Mapping,CRP - Ambulatory App
dataAppts,ReasonForCancellation,CRP - Ambulatory App
dataAppts,ReasonForRescheduling,CRP - Ambulatory App
dataAppts,Event_Desc,CRP - Ambulatory App
dataAppts,ref_Date_Person,CRP - Ambulatory App
dataAppts,Appt_Start,CRP - Ambulatory App
dataAppts,Appt_End,CRP - Ambulatory App
dataAppts,Appt_Duration,CRP - Ambulatory App
dataAppts,TypeFacility2_IsFacility,CRP - Ambulatory App
dataAppts,TypeFacility2_IsNonFacility,CRP - Ambulatory App
dataAppts,TypeFacility3_IsTelehealth,CRP - Ambulatory App
dataAppts,TypeFacility3_IsFacility,CRP - Ambulatory App
dataAppts,TypeFacility3_IsNonFacility,CRP - Ambulatory App
dataAppts,_Is Max,CRP - Ambulatory App
dataAppts,_Max Status_Hierarchy,CRP - Ambulatory App
dataAppts,Exclude Delivered?,CRP - Ambulatory App
dataAppts,refPhysician,CRP - Ambulatory App
dataAppts,Specialty,CRP - Ambulatory App
dataAppts,Specialty_Edit,CRP - Ambulatory App
dataAppts,SpecialtyGroup,CRP - Ambulatory App
dataAppts,Appointments,CRP - Ambulatory App
dataAppts,Unique Patients,CRP - Ambulatory App
dataAppts,Kept %,CRP - Ambulatory App
dataAppts,UniquePatientsKept,CRP - Ambulatory App
dataCharges,refPhysician,CRP - Ambulatory App
dataCharges,ServiceDate,CRP - Ambulatory App
dataCharges,Person_ID,CRP - Ambulatory App
dataCharges,IsNC,CRP - Ambulatory App
dataCharges,Charges,CRP - Ambulatory App
dataCharges,Oracle_Mapping,CRP - Ambulatory App
dataCharges,ModifierCode,CRP - Ambulatory App
dataCharges,ref_Date_Person,CRP - Ambulatory App
dataCharges,Specialty,CRP - Ambulatory App
dataCharges,Procedure_Code,CRP - Ambulatory App
dataCharges,Practice,CRP - Ambulatory App
dataCharges,Specialty_Edit,CRP - Ambulatory App
dataCharges,SpecialtyGroup,CRP - Ambulatory App
dataCharges,New Patients,CRP - Ambulatory App
dataCharges,Worked Days (Provider Level),CRP - Ambulatory App
dataCharges,Unique Patients (Provider Level),CRP - Ambulatory App
dataCharges,Avg. Unique Patients/Provider/Day,CRP - Ambulatory App
dataCharges,Total Patients,CRP - Ambulatory App
dataCharges,% New Patients,CRP - Ambulatory App
dataCharges,Charges Per Day,CRP - Ambulatory App
dataCharges,Charges PerDay/Practice,CRP - Ambulatory App
dataOpSum,Oracle_Mapping,CRP - Ambulatory App
dataOpSum,EBITDA_MTD_CY,CRP - Ambulatory App
dataOpSum,EBITDA_MTD_LY,CRP - Ambulatory App
dataOpSum,EBITDA_PriorMonth,CRP - Ambulatory App
dataOpSum,EBITDA_MTD_CY_Budget,CRP - Ambulatory App
dataOpSum,Salary_MTD_CY,CRP - Ambulatory App
dataOpSum,Salary_MTD_LY,CRP - Ambulatory App
dataOpSum,Salary_PriorMonth,CRP - Ambulatory App
dataOpSum,Salary_MTD_CY_Budget,CRP - Ambulatory App
dataOpSum,GPSR_MTD_CY,CRP - Ambulatory App
dataOpSum,GPSR_MTD_LY,CRP - Ambulatory App
dataOpSum,GPSR_PriorMonth,CRP - Ambulatory App
dataOpSum,GPSR_MTD_CY_Budget,CRP - Ambulatory App
dataTargets,Oracle_Mapping,CRP - Ambulatory App
dataTargets,MetricsID,CRP - Ambulatory App
dataTargets,NewTarget,CRP - Ambulatory App
dimDateRanges,MTD_CY_From,CRP - Ambulatory App
dimDateRanges,MTD_CY_To,CRP - Ambulatory App
dimDateRanges,PriorMonth_From,CRP - Ambulatory App
dimDateRanges,PriorMonth_To,CRP - Ambulatory App
dimDateRanges,MTD_LY_From,CRP - Ambulatory App
dimDateRanges,MTD_LY_To,CRP - Ambulatory App
dimDates,Date,CRP - Ambulatory App
dimDates,WeekBeginning,CRP - Ambulatory App
dimDates,WeekEnding,CRP - Ambulatory App
dimDates,MonthBeginning,CRP - Ambulatory App
dimDates,MonthEnding,CRP - Ambulatory App
dimDates,WeekHierarchy_Year,CRP - Ambulatory App
